Zona,Incidenti,Anno,Morti,Mese,Feriti
,50,2001,1,1,69
1.0,171,2001,0,1,209
2.0,91,2001,1,1,115
3.0,141,2001,1,1,187
4.0,105,2001,0,1,154
5.0,118,2001,0,1,173
6.0,98,2001,0,1,133
7.0,140,2001,3,1,186
8.0,141,2001,1,1,189
9.0,178,2001,1,1,275
,41,2001,0,2,59
1.0,161,2001,1,2,210
2.0,90,2001,1,2,136
3.0,147,2001,1,2,200
4.0,122,2001,1,2,165
5.0,95,2001,0,2,129
6.0,104,2001,1,2,139
7.0,113,2001,2,2,150
8.0,159,2001,3,2,213
9.0,156,2001,1,2,215
,51,2001,0,3,60
1.0,190,2001,1,3,245
2.0,82,2001,1,3,106
3.0,178,2001,1,3,260
4.0,130,2001,2,3,187
5.0,151,2001,1,3,237
6.0,111,2001,0,3,147
7.0,156,2001,0,3,214
8.0,189,2001,0,3,251
9.0,181,2001,1,3,270
,47,2001,1,4,63
1.0,164,2001,0,4,219
2.0,110,2001,1,4,141
3.0,177,2001,0,4,250
4.0,161,2001,1,4,233
5.0,128,2001,0,4,186
6.0,95,2001,1,4,130
7.0,128,2001,0,4,188
8.0,158,2001,1,4,221
9.0,201,2001,3,4,273
,54,2001,0,5,71
1.0,205,2001,0,5,267
2.0,87,2001,1,5,127
3.0,207,2001,1,5,287
4.0,194,2001,1,5,275
5.0,152,2001,0,5,204
6.0,137,2001,0,5,221
7.0,192,2001,1,5,271
8.0,229,2001,0,5,299
9.0,240,2001,0,5,331
,53,2001,1,6,81
1.0,237,2001,1,6,293
2.0,137,2001,0,6,186
3.0,211,2001,0,6,315
4.0,178,2001,1,6,247
5.0,202,2001,2,6,260
6.0,156,2001,0,6,197
7.0,206,2001,1,6,278
8.0,222,2001,2,6,307
9.0,240,2001,1,6,342
,52,2001,1,7,64
1.0,203,2001,0,7,258
2.0,107,2001,0,7,138
3.0,223,2001,2,7,301
4.0,181,2001,3,7,236
5.0,164,2001,0,7,240
6.0,128,2001,1,7,178
7.0,164,2001,1,7,218
8.0,208,2001,1,7,279
9.0,227,2001,0,7,311
,24,2001,0,8,37
1.0,85,2001,1,8,129
2.0,64,2001,2,8,88
3.0,112,2001,0,8,167
4.0,84,2001,0,8,117
5.0,87,2001,2,8,137
6.0,64,2001,1,8,88
7.0,84,2001,0,8,127
8.0,117,2001,0,8,155
9.0,127,2001,1,8,176
,50,2001,0,9,82
1.0,182,2001,0,9,248
2.0,106,2001,0,9,146
3.0,182,2001,0,9,261
4.0,155,2001,1,9,229
5.0,154,2001,1,9,218
6.0,116,2001,2,9,150
7.0,168,2001,0,9,230
8.0,188,2001,0,9,250
9.0,190,2001,2,9,261
,64,2001,0,10,91
1.0,216,2001,1,10,285
2.0,101,2001,0,10,138
3.0,225,2001,1,10,311
4.0,177,2001,1,10,233
5.0,143,2001,0,10,188
6.0,149,2001,0,10,203
7.0,181,2001,0,10,235
8.0,192,2001,1,10,257
9.0,227,2001,2,10,321
,66,2001,0,11,87
1.0,206,2001,0,11,279
2.0,99,2001,1,11,152
3.0,211,2001,1,11,285
4.0,159,2001,2,11,223
5.0,147,2001,1,11,194
6.0,126,2001,0,11,165
7.0,143,2001,1,11,192
8.0,213,2001,0,11,286
9.0,213,2001,0,11,307
,53,2001,0,12,81
1.0,187,2001,0,12,238
2.0,97,2001,0,12,116
3.0,162,2001,0,12,239
4.0,136,2001,1,12,181
5.0,152,2001,1,12,213
6.0,125,2001,1,12,197
7.0,153,2001,1,12,214
8.0,184,2001,1,12,250
9.0,207,2001,0,12,272
,41,2002,0,1,51
1.0,148,2002,1,1,201
2.0,81,2002,1,1,110
3.0,149,2002,1,1,208
4.0,126,2002,2,1,183
5.0,130,2002,0,1,182
6.0,125,2002,1,1,169
7.0,114,2002,0,1,151
8.0,153,2002,1,1,219
9.0,169,2002,0,1,225
,54,2002,0,2,73
1.0,144,2002,2,2,189
2.0,83,2002,0,2,105
3.0,153,2002,1,2,193
4.0,112,2002,2,2,148
5.0,112,2002,2,2,162
6.0,101,2002,2,2,132
7.0,119,2002,0,2,167
8.0,144,2002,1,2,196
9.0,170,2002,1,2,229
,50,2002,0,3,82
1.0,192,2002,0,3,258
2.0,97,2002,0,3,133
3.0,190,2002,1,3,264
4.0,119,2002,0,3,167
5.0,146,2002,1,3,197
6.0,135,2002,0,3,217
7.0,134,2002,0,3,172
8.0,166,2002,0,3,237
9.0,206,2002,1,3,294
,55,2002,0,4,79
1.0,168,2002,2,4,211
2.0,110,2002,0,4,170
3.0,180,2002,0,4,266
4.0,140,2002,1,4,201
5.0,138,2002,2,4,201
6.0,122,2002,0,4,156
7.0,151,2002,0,4,241
8.0,186,2002,4,4,251
9.0,189,2002,1,4,263
,63,2002,1,5,84
1.0,198,2002,0,5,243
2.0,120,2002,0,5,182
3.0,208,2002,0,5,282
4.0,169,2002,1,5,229
5.0,157,2002,1,5,216
6.0,119,2002,0,5,153
7.0,178,2002,1,5,265
8.0,185,2002,2,5,245
9.0,229,2002,0,5,314
,61,2002,0,6,80
1.0,168,2002,1,6,209
2.0,90,2002,0,6,110
3.0,211,2002,0,6,294
4.0,155,2002,2,6,221
5.0,166,2002,1,6,206
6.0,134,2002,0,6,207
7.0,161,2002,0,6,214
8.0,169,2002,2,6,232
9.0,204,2002,1,6,274
,87,2002,2,7,125
1.0,183,2002,0,7,238
2.0,119,2002,0,7,153
3.0,206,2002,0,7,277
4.0,172,2002,1,7,227
5.0,135,2002,2,7,197
6.0,147,2002,0,7,204
7.0,175,2002,0,7,240
8.0,220,2002,1,7,291
9.0,247,2002,2,7,335
,40,2002,0,8,57
1.0,84,2002,0,8,117
2.0,61,2002,0,8,95
3.0,109,2002,0,8,163
4.0,76,2002,0,8,105
5.0,73,2002,1,8,110
6.0,50,2002,0,8,70
7.0,90,2002,1,8,125
8.0,85,2002,1,8,120
9.0,124,2002,2,8,179
,53,2002,0,9,73
1.0,211,2002,0,9,260
2.0,105,2002,1,9,151
3.0,185,2002,0,9,237
4.0,154,2002,1,9,210
5.0,145,2002,0,9,209
6.0,135,2002,1,9,184
7.0,154,2002,1,9,208
8.0,205,2002,1,9,286
9.0,189,2002,0,9,264
,64,2002,0,10,86
1.0,225,2002,0,10,296
2.0,135,2002,2,10,171
3.0,235,2002,0,10,324
4.0,179,2002,1,10,239
5.0,135,2002,0,10,192
6.0,147,2002,0,10,189
7.0,190,2002,0,10,239
8.0,228,2002,1,10,298
9.0,240,2002,1,10,353
,57,2002,2,11,79
1.0,250,2002,1,11,327
2.0,131,2002,0,11,174
3.0,197,2002,0,11,276
4.0,183,2002,1,11,234
5.0,157,2002,1,11,228
6.0,138,2002,1,11,185
7.0,166,2002,1,11,243
8.0,223,2002,1,11,309
9.0,198,2002,0,11,270
,60,2002,0,12,87
1.0,206,2002,0,12,271
2.0,140,2002,0,12,191
3.0,162,2002,0,12,225
4.0,128,2002,0,12,181
5.0,115,2002,1,12,176
6.0,122,2002,0,12,166
7.0,142,2002,0,12,185
8.0,183,2002,0,12,294
9.0,165,2002,0,12,232
,45,2003,0,1,84
1.0,168,2003,1,1,235
2.0,94,2003,0,1,125
3.0,156,2003,0,1,215
4.0,108,2003,0,1,145
5.0,120,2003,0,1,160
6.0,87,2003,0,1,125
7.0,130,2003,1,1,186
8.0,162,2003,0,1,227
9.0,166,2003,0,1,232
,48,2003,0,2,70
1.0,145,2003,0,2,168
2.0,94,2003,0,2,128
3.0,147,2003,0,2,213
4.0,129,2003,0,2,187
5.0,113,2003,2,2,146
