"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
0;240100;240100;240100;240100;240100;240100;240100;
1;249511;249511;249511;249511;249511;249511;249511;
2;258236;258236;258236;258236;258236;258236;258236;
3;262951;262951;262951;262951;262951;262951;262951;
4;274842;274842;274842;274842;274842;274842;274842;
5;280570;280570;280570;280570;280570;280570;280570;
6;288620;288620;288620;288620;288620;288620;288620;
7;293062;293062;293062;293062;293062;293062;293062;
8;295843;295843;295843;295843;295843;295843;295843;
9;295154;295154;295154;295154;295154;295154;295154;
10;295895;295895;295895;295895;295895;295895;295895;
11;294196;294196;294196;294196;294196;294196;294196;
12;295925;295925;295925;295925;295925;295925;295925;
13;293528;293528;293528;293528;293528;293528;293528;
14;291638;291638;291638;291638;291638;291638;291638;
15;294899;294899;294899;294899;294899;294899;294899;
16;300773;300773;300773;300773;300773;300773;300773;
17;295734;295734;295734;295734;295734;295734;295734;
18;301059;301059;301059;301059;301059;301059;301059;
19;303625;303625;303625;303625;303625;303625;303625;
20;305124;305124;305124;305124;305124;305124;305124;
21;305280;305280;305280;305280;305280;305280;305280;
22;307690;307690;307690;307690;307690;307690;307690;
23;312826;312826;312826;312826;312826;312826;312826;
24;325841;325841;325841;325841;325841;325841;325841;
25;325094;325094;325094;325094;325094;325094;325094;
26;331580;331580;331580;331580;331580;331580;331580;
27;329779;329779;329779;329779;329779;329779;329779;
28;337451;337451;337451;337451;337451;337451;337451;
29;330354;330354;330354;330354;330354;330354;330354;
30;332239;332239;332239;332239;332239;332239;332239;
